type	premise_1	premise_2	conclusion	conclusion_2
AI1	All kiliwas are philemons.	Some differential calculuses are kiliwas.	Some differential calculuses are philemons.	
AI3	All tutees are aspergilluses.	Some tutees are lasiocampas.	Some lasiocampas are aspergilluses.	
AI1	All change ringings are applecarts.	Some eclats are change ringings.	Some eclats are applecarts.	
AI1	All blades are conventionalitys.	Some keyholes are blades.	Some keyholes are conventionalitys.	
AI1	All comedowns are peleuses.	Some fryes are comedowns.	Some fryes are peleuses.	
AI4	All cast irons are epistemic logics.	Some epistemic logics are lineages.	NVC	
AI4	All expectorants are sacrifice flys.	Some sacrifice flys are emplacements.	NVC	
AI4	All dot matrixes are japanese deers.	Some japanese deers are volapuks.	NVC	
AI2	All rapids are deer ferns.	Some tudors are deer ferns.	NVC	
AI4	All housewiferys are augustinian hermitses.	Some augustinian hermitses are dead nettles.	NVC	
